date,actual_value,expected_value,lower_bound,upper_bound
2026-02-13,55208.94519076005,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-14,45105.01722822666,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-15,40196.81973705611,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-16,53284.28590015337,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-17,54201.235993897215,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-18,53111.022206764705,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-19,51060.82116254,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-20,55260.207458820994,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-21,45568.159403254685,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-22,38688.5597621299,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-23,52212.29590527843,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-24,53576.66461113648,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-25,51925.009936580995,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-26,50752.371973895984,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-27,56345.44718011096,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-28,44220.75199587608,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-01,40871.45051913233,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-02,50985.417205545775,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-03,53698.6034730128,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-04,52646.477758594505,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-05,51527.60009822335,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-06,55640.10392181358,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-07,45714.01251167993,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-08,39686.1474349764,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-09,52083.88338660189,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-10,54772.17829313144,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-11,52327.82610760655,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-12,49851.88230899587,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-13,53980.041507396876,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-14,44172.49294259855,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-15,40447.44466964839,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-16,52628.18316246351,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-17,54621.43681866099,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-18,52115.47261829712,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-19,51142.68572196904,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-20,55563.03135457061,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-21,44721.58811425178,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-22,40411.09771380167,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-23,51904.26665304002,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-24,53673.251538091434,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-25,52156.435895401504,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-26,49923.74431896987,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-27,55438.275232707034,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-28,44577.53789381755,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-29,40011.244706854915,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-30,52932.67199301532,49815.74273627985,36534.99890011283,63096.48657244687
2026-03-31,54401.87805842695,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-01,53098.846598075506,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-02,50911.36306394152,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-03,54619.03151916027,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-04,44928.25361018424,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-05,38481.39900943777,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-06,40958.07901985538,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-07,42247.656279104835,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-08,41281.982284126934,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-09,41087.837443240875,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-10,43348.055080140766,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-11,35727.72296109164,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-12,32935.44437440597,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-13,52179.36242604472,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-14,54663.76401162038,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-15,51659.74408799111,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-16,50815.106197919136,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-17,54144.980150580486,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-18,44694.87023168949,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-19,40756.277323711656,49815.74273627985,36534.99890011283,63096.48657244687
2026-04-20,50945.411619126884,49815.74273627985,36534.99890011283,63096.48657244687
