date,revenue,avg_price,inventory_level,marketing_spend,complaint_sentiment_score
2026-04-06,40958.08,45.78,11916.0,2299.36,0.764
2026-04-07,42247.66,45.8,11918.0,2164.41,0.774
2026-04-08,41281.98,45.85,11745.0,2207.99,0.794
2026-04-09,41087.84,46.06,11515.0,2116.31,0.811
2026-04-10,43348.06,45.86,11395.0,2318.75,0.755
2026-04-11,35727.72,45.94,11412.0,2058.6,0.787
2026-04-12,32935.44,46.19,11702.0,2293.88,0.761
2026-04-13,52179.36,45.95,11455.0,2177.12,0.789
2026-04-14,54663.76,46.11,11543.0,2340.55,0.778
2026-04-15,51659.74,45.86,11505.0,2290.1,0.747
2026-04-16,50815.11,45.97,11507.0,2418.48,0.797
2026-04-17,54144.98,45.86,11802.0,2287.69,0.769
2026-04-18,44694.87,45.95,11950.0,2011.36,0.77
2026-04-19,40756.28,46.12,12252.0,2191.97,0.761
2026-04-20,50945.41,45.74,12180.0,2059.36,0.768
